"","TBB011","TBB035","TBB075","TBB102","TBB111","TBB129","TBB165","TBB171","TBB184","TBB212","TBB214","TBB226","TBB330","TBB338"
"T/NK cell",0.573700543056633,0.333747318505137,0.17780959198282,0.077283950617284,0.144313475629181,0.333748529513528,0.363533622151064,0.143228521911364,0.360388015717092,0.429864925040819,0.394081307293743,0.141510635587823,0.344792201128784,0.238310708898944
"myeloid",0.139158262218774,0.101727447216891,0.0359341445955619,0.151851851851852,0.3483593501115,0.358798699051969,0.424373705029196,0.162787818767022,0.0893909626719057,0.173816238681906,0.173475488242328,0.119475226085849,0.131734222678297,0.432593550240609
"fibroblast",0.0564391000775795,0.133115050242746,0.0562634216177523,0.148888888888889,0.247690347244345,0.0993010864300048,0.032962893200226,0.113394404555583,0.223845776031434,0.0868339023304141,0.127142287764049,0.313208508470259,0.249102103642894,0.127917833800187
"endothelial",0.0701124903025601,0.0809529185954612,0.0450966356478167,0.212345679012346,0.143835616438356,0.0914123590062971,0.0131851572800904,0.00297103243377074,0.125,0.0617485527682945,0.160721402949382,0.120112087632149,0.116854797331965,0.040436687495511
"B cell",0.0203646237393328,0.00688720785819126,0.151753758052971,0.00148148148148148,0.0240522459381969,0.0220745969137084,0.00207195328687135,0.0320623916811092,0.0230844793713163,0.0607095146207511,0.0422479075328816,0.092472296522736,0.0682401231400718,0.0273647920706744
"epithelial",0.0188130333591932,0.259568702721012,0.527129563350036,0.400987654320988,0.0455559095253265,0.0535603072451733,0.0992653983801093,0.504704134686804,0.141453831041257,0.133590618969868,0.010263053009167,0.177174882180614,0.013083632632119,0.0811606693959635
"granulocyte",0.0247284716834756,0.07406571073727,0.00100214745884037,0.00469135802469136,0.012265052564511,0.0134246764929763,0.028065549067621,0.00544689279524635,0.0207514734774067,0.00979664539112365,0.0504184934236748,0.00382116927779901,0.0600307850179579,0.0031602384543561
"plasma cell",0.0903801396431342,0.00846787851416958,0.00243378668575519,0.000493827160493827,0.0242115323351386,0.016953844024635,0.00696929741947636,0.0251299826689775,0.0111738703339882,0.0167730443817723,0.00876843363889996,0.0201248248630748,0.00141097998973833,0.0253537312360842
"cDC",0.00320015515903801,0.000564525234277972,0.000572655690765927,0,0.00923861102261867,0.00518995225243928,0.00866453192691656,0.00668482297598415,0.00196463654223969,0.00890604126465786,0.0129533678756477,0.00318430773149917,0.0138532580810672,0.0191769015298427
"pDC",0.00310318076027929,0.000903240374844756,0.00200429491768074,0.00197530864197531,0.000477859190825104,0.00553594906926856,0.0209078922584291,0.00358999752413964,0.00294695481335953,0.0179605165503934,0.0199282582702272,0.00891606164819768,0.000897896357106208,0.00452488687782805
