sample,CD8ex_cytof,CD4ex_cytof,%CD4_total,%CD8_total,total_Tex_cytof
TBB111,0.149978494,0.138068881,49.8769988,38.4378845,0.127875529
TBB129,0.080639144,0.137698498,61.3008482,27.1698935,0.086845015
TBB165,0.11749519,0.105601359,52.1459749,29.8617846,0.092803463
TBB171,0.15982707,0.156930125,64.4902633,27.8350515,0.146754479
TBB075,0.020187481,0.070869838,64.1270339,15.6914894,0.024066166
TBB102,0.073075985,0.061250397,61.0599809,27.0072993,0.061162261
TBB214,0.019339383,0.067083735,78.5803658,14.0423484,0.02461709
TBB226,0.087441498,0.070437379,56.9734763,28.5965221,0.069961102
TBB011,0.158586798,0.104540021,55.3592774,28.1312259,0.117200895
TBB035,0.090010977,0.092431485,50.3979144,37.4176729,0.079949366
TBB184,0.126552974,0.123575311,47.989814,36.5305964,0.105875335
TBB212,0.107407093,0.101269414,64.0105452,25.3592993,0.094433079
